"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.769029810875736E9,"2026-01-21 13:10:10.876 UTC-08:00"
"PAUSE",1.842908415832790E2,1.769029995163144E9,"2026-01-21 13:13:15.163 UTC-08:00"
