"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.769031652233383E9,"2026-01-21 13:40:52.233 UTC-08:00"
"PAUSE",4.983739941671956E1,1.769031702067830E9,"2026-01-21 13:41:42.068 UTC-08:00"
