"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.769024226828041E9,"2026-01-21 11:37:06.828 UTC-08:00"
"PAUSE",7.820999495824799E1,1.769024305036661E9,"2026-01-21 11:38:25.037 UTC-08:00"
